10000 10000
q 6716 6041
u 6467 84
q 6129 2327
u 3126 7502
u 3749 9797
q 6809 8056
u 3775 3907
u 5918 2
u 3108 6593
u 2811 1617
u 5682 7388
u 3544 1884
q 4568 2857
u 2553 2225
q 8993 7422
u 9137 2392
q 6630 2203
u 8821 5492
q 6966 893
u 9777 3978
q 3892 9591
u 5868 2347
u 3623 7906
u 7778 9836
q 512 1796
u 6023 4939
u 7553 3678
u 668 7722
q 9297 5215
u 6223 9260
u 1637 5834
u 8443 458
u 5380 9671
q 5433 4895
u 7927 5011
u 3343 3226
u 7268 1028
u 5305 4583
u 2110 3970
u 3891 4273
u 6313 756
u 6775 7747
q 2226 7801
q 2471 5884
u 6732 7718
u 330 8744
u 4335 829
u 8191 7531
u 1637 1473
u 2553 2406
u 2590 3026
q 793 3536
u 9615 5161
u 9939 5255
u 2355 10
u 5453 9123
u 2982 3192
u 7739 8850
u 1259 1535
u 5049 2855
u 1893 2511
u 3837 5224
u 2589 7423
q 4245 195
u 9871 7736
u 5210 7171
u 7662 8667
u 6735 8284
u 8917 8936
u 4995 1947
u 5800 6171
u 1096 8437
u 555 3012
q 1956 6332
u 5504 9911
u 8143 9469
u 6079 3997
u 9743 1107
u 7739 1451
u 5721 9102
u 1273 9419
u 4046 5784
u 299 8585
q 1615 8749
u 6465 833
u 9497 8342
q 2660 3149
u 662 5949
u 4047 9202
q 1412 4834
u 1377 1094
u 427 9166
u 9139 5188
u 7867 1579
u 7703 7823
u 8720 6683
u 2231 4101
u 3823 6549
u 8441 9504
u 3352 8660
u 9720 8036
u 614 9640
u 3244 2380
u 3011 9778
u 946 58
u 7595 790
u 8529 5536
q 779 664
q 3264 7099
u 7706 172
u 6284 9665
u 4940 8699
u 3413 4108
u 3032 9933
u 9534 531
u 220 8742
u 7377 8329
u 9938 3346
u 1919 8534
u 124 7426
u 5165 3198
u 9089 8439
u 9258 8393
u 9853 6662
u 7219 4291
u 6442 1759
u 4553 3982
q 6432 7542
u 9042 6554
u 8021 7474
u 1618 6501
q 2370 1248
q 8021 5981
u 6988 2578
u 7191 3265
q 5907 4032
q 9015 4363
q 1336 5392
u 6430 2444
u 106 4808
u 311 3493
u 1396 9605
u 2554 819
u 1097 6246
u 4858 6195
u 1432 8548
q 3046 8589
u 4063 3018
q 4505 1399
u 8136 300
u 2177 477
q 9690 2855
u 2758 7545
u 6078 4372
u 5287 2040
u 2312 6170
q 4547 2468
u 1007 7497
u 8361 8141
u 7328 7810
u 1081 8587
u 699 2272
u 4778 7757
u 1866 3163
q 5598 8194
u 3350 8405
u 16 528
q 7147 6176
u 3743 9225
u 2833 5473
u 8488 323
u 3496 9649
u 1648 5107
u 9598 821
u 334 4350
u 3925 6604
q 2979 5791
q 4585 8202
u 56 3372
u 7780 6595
u 5188 4563
u 7586 5652
u 1311 3928
q 2565 5762
q 445 5936
q 2903 7048
u 6856 9946
u 4525 5330
u 2440 2773
u 5672 6122
q 6756 5301
u 1291 9328
u 2998 9340
q 7829 9870
u 7009 1968
u 480 1934
u 471 8912
q 4220 4051
u 1368 4076
u 617 5085
u 4257 2049
u 186 725
q 404 5340
u 762 8236
u 9076 1458
u 3919 2209
u 1594 1387
u 6495 2864
u 6395 8012
q 8404 6989
u 6813 1772
u 5998 8815
u 516 2051
u 2873 9329
u 3885 3836
u 2350 3676
u 5196 7961
u 4757 4267
u 581 6184
u 5602 6177
u 3189 7452
u 2322 5362
q 5906 1315
u 4360 537
u 5380 7935
u 8511 8691
u 5391 7952
u 1065 6178
u 4450 7291
u 2543 2889
u 1469 1861
q 2465 9539
u 4151 6025
u 5491 6433
u 1116 2074
u 3083 8155
u 4516 6787
u 4479 9199
u 1382 6342
u 1192 7122
u 6839 38
u 8211 9431
u 6988 7560
u 3953 1180
u 3614 2496
u 9792 7541
u 4565 7571
u 1976 1364
u 5006 5669
u 529 7533
u 5578 2200
u 5655 819
u 6632 6675
u 8202 6333
u 1643 8853
u 7700 3193
u 9221 6870
u 1245 522
q 8387 849
u 2872 758
u 9037 6172
u 5533 3021
u 8830 4063
u 3775 672
u 9149 2131
u 9713 1799
u 7423 5514
u 6874 5374
u 1568 4374
u 2659 6148
q 3038 7193
u 5282 964
u 7084 9670
u 8229 6894
u 7457 9222
u 5659 3303
u 2092 6889
u 3983 5759
u 391 6292
q 1364 6131
u 4810 4736
u 3160 2571
u 672 1852
u 5222 6081
u 3662 5442
u 6232 724
u 7123 3208
q 7438 3630
u 5720 5358
u 5352 8993
u 4821 8668
u 1345 3925
u 2332 7606
q 7848 4696
u 6173 3448
u 563 9678
u 2738 2732
u 3408 1224
u 9534 9349
u 6228 2147
u 9571 4198
q 7283 641
u 7154 8195
u 5917 9457
u 5009 1571
u 8360 7509
u 4503 2999
u 4367 7898
u 530 5876
u 5943 6968
u 4714 7260
u 765 3417
u 2715 7908
u 6135 9805
u 9236 54
u 2525 6639
u 9280 1157
u 7344 3351
u 2064 3267
u 1488 9910
u 7198 1612
u 6300 6679
u 442 1345
u 8029 2862
u 1930 5422
q 5967 4791
u 4292 6605
u 9874 2791
u 9389 5597
u 9819 7972
u 237 6036
u 7663 849
q 5086 7208
u 9958 2663
