100000 100000
u 68617 93025
u 81996 19641
u 3543 13806
u 42962 37074
u 66172 42628
u 55867 60232
u 29086 80726
q 17813 33978
u 73028 32250
u 17169 94961
u 79080 35824
u 20899 40183
u 34851 40468
u 52535 76409
u 78654 94116
u 37588 55031
u 51226 33450
u 48696 41704
u 75468 853
u 36294 82286
u 5726 27001
u 76908 64880
u 14763 84603
u 86655 71863
u 15353 45487
u 49513 70983
u 14868 3385
u 15365 97551
u 32820 33612
q 6522 47724
q 69681 26320
u 71298 70639
u 62154 31568
u 4806 26852
u 91535 55377
u 31879 68445
u 21461 45711
u 70051 8691
q 71096 61624
u 76561 1492
u 21973 37812
u 68050 15850
u 6006 86554
u 98554 37208
u 63484 18272
q 29038 57002
u 94323 74667
q 36053 52179
q 75823 20557
u 37283 68192
u 99212 38801
u 56005 30580
u 4225 54821
u 74320 21683
u 83603 43956
q 53958 51143
u 70480 48409
u 38826 45580
u 74323 87515
u 35534 46198
u 72853 22267
u 32012 12988
u 70751 71380
u 90989 98780
u 97020 90475
u 47919 40783
u 6642 61695
u 3637 94554
u 89424 13272
u 32495 58552
u 80788 12794
u 55544 21478
u 60765 34089
u 57291 54545
u 32808 88902
u 60631 11603
q 23094 64227
u 5661 41999
u 8547 60072
u 58343 54602
u 46908 14844
u 11143 38872
q 48699 49335
u 16587 84705
u 21402 94953
u 94327 19899
q 37739 82519
u 3051 46979
u 94444 24428
u 93647 46033
u 29162 8978
u 4351 44890
q 13342 70876
u 71769 1822
u 63217 94986
q 92390 42800
q 34389 77587
q 4266 83420
u 6586 96449
u 36961 56677
u 36947 8833
u 8341 78768
u 8673 25209
u 29141 50773
u 51773 35171
u 15612 11914
u 37040 48639
u 46544 410
q 20531 74962
u 44777 5119
u 82054 93050
q 1176 57958
u 46276 878
u 54606 25388
u 29977 68757
u 98506 64944
u 99426 65335
u 53586 32522
u 96550 55749
u 11935 93693
u 84125 37500
u 86098 41543
u 38413 40021
u 62373 16057
u 9162 57014
u 41573 69824
u 78387 21743
u 27062 12680
u 38048 91337
u 21263 27833
u 24798 55765
u 15822 65487
q 473 80297
u 4287 49546
u 26955 36614
u 1990 8762
u 43502 74724
u 15708 49549
u 60146 88823
u 27259 31338
u 71972 74908
u 56570 48463
q 10959 94590
u 62808 52467
u 74025 74231
u 49425 5373
u 34838 71708
u 75827 35330
u 71847 45308
u 63141 78826
u 66778 34475
u 9870 70506
u 18763 1982
u 87986 82092
u 92994 71834
u 27227 61822
u 98540 3261
u 69148 96606
u 42547 88443
u 56861 49010
u 42186 79084
u 6598 89114
u 79220 3742
u 39682 1921
q 92721 61101
u 1689 18323
u 30660 91177
u 91555 53771
u 69436 73548
u 79655 70120
u 38105 53328
u 65595 82298
u 79856 70844
q 72936 40987
u 13440 58787
u 14443 5113
u 15416 12857
u 34126 44139
u 67774 67701
u 73541 70220
u 85671 10479
u 6662 42159
q 51754 23436
u 65405 74197
u 38618 42767
u 31469 76224
u 25868 7608
u 99697 93122
u 96146 78507
u 12240 93961
q 40876 80905
u 1045 32109
u 144 58072
q 37597 24816
q 96887 27081
q 82583 89575
u 6292 74047
u 83376 40976
u 32901 75243
u 52766 85457
u 50464 96947
q 56719 78458
u 44662 57209
u 90239 91891
u 65591 96703
q 23977 45862
u 80736 31676
u 50101 54700
u 30960 68653
u 14273 67347
u 56598 31539
u 81988 30596
u 24533 10024
u 40413 24768
u 79403 84737
u 38713 23760
u 12076 51226
q 41402 10317
q 60838 10718
u 79422 90715
u 59638 37828
u 36514 13851
u 83680 92
u 43287 77680
u 22082 68221
q 22172 57482
u 37149 51369
u 86738 98217
q 9465 19132
u 51959 49732
u 4328 67784
u 35825 5303
u 35556 41138
u 82413 1867
u 78417 97503
u 70527 6478
u 84592 68586
u 29872 54555
u 12630 54272
u 65340 52952
u 57900 81878
u 22275 73093
u 57362 40241
u 46937 26407
q 68975 77329
u 57956 53467
q 6889 81904
q 70849 38757
u 77847 99306
u 12927 34019
u 99380 99053
u 68986 34712
u 69606 30827
u 54772 47463
u 52245 63579
u 50838 17464
u 30989 35143
u 93345 92232
q 93256 46390
q 85671 4044
u 13312 87071
u 7521 50163
q 91202 41876
u 39423 3415
u 54699 43588
u 30829 96414
u 53918 22792
u 71617 50056
u 72375 7608
u 50306 86064
q 84859 88418
u 40108 319
u 13819 27031
u 6621 63529
q 97637 38483
u 94799 66928
u 73646 59977
u 26126 58154
u 20417 51703
u 70930 31194
q 16608 83878
u 61969 65792
u 54972 82827
u 12474 47682
u 5744 93266
u 84126 62596
u 40893 11392
u 64417 57567
u 71768 89551
u 9485 41852
u 14994 77311
u 57082 88321
q 5832 40065
u 74024 90081
u 81136 67252
u 20200 70251
u 30053 19175
u 58167 23403
u 2892 15975
u 14757 89094
u 49577 74906
q 14561 35782
u 46634 69763
u 92767 46801
q 14868 84983
u 62226 53456
u 26275 94533
u 19558 28148
u 83651 42130
u 46489 90176
u 58721 93915
u 41170 41679
u 57413 21038
u 838 37835
q 59284 99662
u 77185 85866
q 91493 30756
u 32617 16290
u 90014 11843
u 47766 84705
u 50380 54118
u 9027 63609
u 86428 53712
u 74977 61463
u 5637 85291
q 77329 77794
q 35576 11849
q 56044 28361
u 54655 49472
